pid,brand,product,price,standard drinks,standard drinks estimate,price per sd
80103,Nelson County,12% Bourbon & Cola Cans 200mL,28.99,7.6,7.58,3.81
80103,Nelson County,12% Bourbon & Cola Cans 200mL,144.99,45.6,45.47,3.18
6008079,Tempus One,Peach Prosecco Spritz Cans 330mL,23.99,4.0,4.17,6.0
6008079,Tempus One,Peach Prosecco Spritz Cans 330mL,109.99,24.0,25.01,4.58
742237,Smirnoff,Ice Red Vodka Bottles 300mL,26.99,4.4,4.26,6.13
742237,Smirnoff,Ice Red Vodka Bottles 300mL,144.99,26.4,25.58,5.49
134405,Nelson County,4.6% Bourbon & Zero Sugar Cola Cans 10 Pack 375mL,43.99,14.0,13.62,3.14
134405,Nelson County,4.6% Bourbon & Zero Sugar Cola Cans 10 Pack 375mL,113.99,42.0,40.85,2.71
797894,Wild Turkey,Rare Bourbon & Cola Cans 320mL,37.49,8.0,8.08,4.69
797894,Wild Turkey,Rare Bourbon & Cola Cans 320mL,192.99,48.0,48.5,4.02
47530,Johnnie Walker,Red Label & Cola Cans 375mL,31.95,8.4,8.17,3.8
47530,Johnnie Walker,Red Label & Cola Cans 375mL,102.95,33.6,32.68,3.06
911752,Jerri Cocktail,Long Island Iced Tea Cans 250mL,29.99,6.4,6.32,4.69
911752,Jerri Cocktail,Long Island Iced Tea Cans 250mL,164.99,38.4,37.89,4.3
280072,Vodka Cruiser,Double Guava 6.8% Cans 375mL,28.95,8.0,8.05,3.62
280072,Vodka Cruiser,Double Guava 6.8% Cans 375mL,149.99,48.0,48.31,3.12
6031606,Smirnoff,Blueberry & Pomegranate 6% Cans 440mL,32.99,8.4,8.34,3.93
6031606,Smirnoff,Blueberry & Pomegranate 6% Cans 440mL,179.99,50.4,50.02,3.57
742130,Vodka Cruiser,Pure Pineapple Bottles 275mL,19.95,4.0,3.99,4.99
742130,Vodka Cruiser,Pure Pineapple Bottles 275mL,88.95,24.0,23.97,3.71
131873,Pals,Vodka Peach Passionfruit & Soda Cans 330mL,25.49,4.8,4.69,5.31
131873,Pals,Vodka Peach Passionfruit & Soda Cans 330mL,57.0,14.4,14.07,3.96
14871,Gordon's,Gin & Tonic Cans 375mL,32.0,7.8,7.99,4.1
14871,Gordon's,Gin & Tonic Cans 375mL,147.8,31.2,31.97,4.74
308771,Lost Scott,Whisky & Cola 6.5% Cans 375mL,25.99,7.6,7.7,3.42
308771,Lost Scott,Whisky & Cola 6.5% Cans 375mL,139.99,45.6,46.18,3.07
77471,Drop,Coconut Water & Vodka Cans 330mL,21.6,4.0,3.86,5.4
77471,Drop,Coconut Water & Vodka Cans 330mL,127.95,24.0,23.13,5.33
910085,Brookvale Union,Vodka Lemonade Cans 330mL,23.1,6.0,6.25,3.85
910085,Brookvale Union,Vodka Lemonade Cans 330mL,79.5,24.0,25.01,3.31
6050639,Brookvale Union,Sun's Out Mixed 10 Pack Cans 330mL,56.99,10.0,10.42,5.7
6050639,Brookvale Union,Sun's Out Mixed 10 Pack Cans 330mL,126.99,30.0,31.26,4.23
235564,Suntory,-196 Double Grape 10 x 330mL,43.0,16.0,15.63,2.69
235564,Suntory,-196 Double Grape 10 x 330mL,137.85,48.0,46.89,2.87
510127,Jack Daniel's,American Serve & Cola Cans 250mL,34.95,8.0,7.89,4.37
510127,Jack Daniel's,American Serve & Cola Cans 250mL,182.99,48.0,47.37,3.81
6025482,Bundaberg,Sunny Rum Mango with Ginger Lime & Soda Cans 375mL,25.0,7.8,7.99,3.21
6025482,Bundaberg,Sunny Rum Mango with Ginger Lime & Soda Cans 375mL,149.99,31.2,31.97,4.81
213605,Bacardi,Coconut 700mL,44.0,14.9,14.92,2.95
908697,Woodstock,Bourbon & Cola 4.8% Cans 10 Pack 375mL,41.95,14.2,14.21,2.95
908697,Woodstock,Bourbon & Cola 4.8% Cans 10 Pack 375mL,125.85,42.6,42.63,2.95
111181,Smirnoff,Seltzer Lime Cans 250mL,21.95,4.0,3.95,5.49
111181,Smirnoff,Seltzer Lime Cans 250mL,131.7,24.0,23.68,5.49
188476,Four Pillars,Rare Dry Gin & Tonic Cans 250mL,28.99,4.0,96.63,7.25
188476,Four Pillars,Rare Dry Gin & Tonic Cans 250mL,139.99,24.0,579.77,5.83
6025810,Hard Rated,Orange Cans 375mL,22.95,5.2,5.33,4.41
6025810,Hard Rated,Orange Cans 375mL,117.9,31.2,31.97,3.78
755576,Billson's,Vodka Mixed Cans 10x355mL,52.99,100.0,9.81,0.53
755576,Billson's,Vodka Mixed Cans 10x355mL,139.99,300.0,29.43,0.47
464424,Kirin,Hyoketsu Vodka Soda Pineapple Can 330mL,26.99,6.4,6.25,4.22
464424,Kirin,Hyoketsu Vodka Soda Pineapple Can 330mL,121.99,38.4,37.51,3.18
389401,Ampersand,Vodka Soda & Passionfruit 6% Cans 330mL,28.99,6.4,6.25,4.53
389401,Ampersand,Vodka Soda & Passionfruit 6% Cans 330mL,135.99,38.4,37.51,3.54
108425,Jim Beam,Black Double Serve Bourbon & Cola 6.9% 10 Pack Cans 375mL,63.0,20.0,20.43,3.15
108425,Jim Beam,Black Double Serve Bourbon & Cola 6.9% 10 Pack Cans 375mL,177.99,60.0,61.28,2.97
238982,Brookvale Union,Vodka Lemon Squash Can 10x330mL,45.6,16.0,1.56,2.85
238982,Brookvale Union,Vodka Lemon Squash Can 10x330mL,117.5,48.0,4.69,2.45
311175,Ampersand,Vodka Soda & Original 4% Cans 330mL,20.0,4.0,4.17,5.0
311175,Ampersand,Vodka Soda & Original 4% Cans 330mL,87.99,24.0,25.01,3.67
198369,Rivka,Vodka Lemon Bottle 275mL,13.99,4.0,3.99,3.5
198369,Rivka,Vodka Lemon Bottle 275mL,74.99,24.0,23.97,3.12
