pid,brand,product,quantity,price,standard drinks,standard drinks estimate,price per sd
480121,Rekorderlig,Wild Berries Cider 330mL,24.0,100.99,24.0,25.01,4.21
187370,Kopparberg,Hard Pear Cider Cans 330mL,10.0,26.99,18.0,18.24,1.5
187370,Kopparberg,Hard Pear Cider Cans 330mL,20.0,48.99,36.0,36.47,1.36
860345,Strongbow,Original Apple Cider Cans 375mL,10.0,21.95,15.0,14.8,1.46
860345,Strongbow,Original Apple Cider Cans 375mL,30.0,65.85,45.0,44.41,1.46
910439,CBCo Brewing,Bertie Zesty Lemon Cider Cans 375mL,4.0,17.5,4.8,4.74,3.65
910439,CBCo Brewing,Bertie Zesty Lemon Cider Cans 375mL,16.0,55.5,19.2,18.95,2.89
655190,Little Fat Lamb,Brewed Tropical Cans 10 Pack 375mL,10.0,26.0,24.0,23683.5,1.08
655190,Little Fat Lamb,Brewed Tropical Cans 10 Pack 375mL,30.0,83.99,72.0,71050.5,1.17
825296,Mercury,Hard Cider Original 6.9% Cans 375mL,6.0,18.95,11.4,12.26,1.66
825296,Mercury,Hard Cider Original 6.9% Cans 375mL,24.0,67.95,45.6,49.02,1.49
629636,Kopparberg,Hard Apple Cider 7% Cans 440mL,6.0,18.0,14.4,14.59,1.25
629636,Kopparberg,Hard Apple Cider 7% Cans 440mL,24.0,69.99,57.6,58.36,1.22
117986,Little Fat Lamb,Strawberry & Lime 375mL,24.0,77.99,57.6,56840.4,1.35
117986,Little Fat Lamb,Strawberry & Lime 375mL,4.0,15.99,9.6,9473.4,1.67
87771,Kopparberg,Apple & Passionfruit Cider 500mL,1,3.0,1.6,1.58,1.88
87771,Kopparberg,Apple & Passionfruit Cider 500mL,15.0,84.99,24.0,23.68,3.54
768443,Somersby,Apple Cider Bottles 330mL,6.0,18.95,7.2,7.03,2.63
768443,Somersby,Apple Cider Bottles 330mL,24.0,59.95,28.8,28.14,2.08
67602,The Hills Cider Company,Tropical Sour Cider Can 375mL,24.0,74.25,57.6,56840.4,1.29
67602,The Hills Cider Company,Tropical Sour Cider Can 375mL,4.0,15.15,9.6,9473.4,1.58
819685,Scape Goat,Premium Crisp Apple Cider Bottles 330mL,6.0,19.99,7.2,7.03,2.78
819685,Scape Goat,Premium Crisp Apple Cider Bottles 330mL,24.0,54.99,28.8,28.14,1.91
118717,Little Fat Lamb,Guava Cans 375mL,4.0,15.99,9.6,9.47,1.67
118717,Little Fat Lamb,Guava Cans 375mL,24.0,77.99,57.6,56.84,1.35
906786,Magners,Original Cider Bottles 568mL,1,8.49,2.02,2.02,4.2
906786,Magners,Original Cider Bottles 568mL,12.0,71.99,24.24,24.21,2.97
47387,Mercury,Draught Cider Bottles 375mL,6.0,22.99,9.0,9.24,2.55
47387,Mercury,Draught Cider Bottles 375mL,24.0,66.99,36.0,36.95,1.86
371164,Kopparberg,Strawberry and Lime Cider Bottles 500mL,1,7.99,1.6,1.58,4.99
371164,Kopparberg,Strawberry and Lime Cider Bottles 500mL,15.0,84.99,24.0,23.68,3.54
911791,Little Fat Lamb,Creaming Soda 8% Cans 375mL,4.0,15.99,9.6,9.47,1.67
911791,Little Fat Lamb,Creaming Soda 8% Cans 375mL,24.0,70.99,57.6,56.84,1.23
850672,Jack Daniel's,Tennessee Whiskey & Cola Bottle 330mL,4.0,25.95,5.2,5.21,4.99
